Short Name,Long Name,Global ID
395,BG.West.290,1EcnkFUEX4Ghhefn8c6765
396,BG.West.300,1EcnkFUEX4Ghhefn8c6764
398,BG.West.310,1EcnkFUEX4Ghhefn8c6766
399,BG.West.320,1EcnkFUEX4Ghhefn8c676v
400,BG.West.340,1EcnkFUEX4Ghhefn8c676u
401,BG.West.350,1EcnkFUEX4Ghhefn8c676x
402,BG.West.370,1EcnkFUEX4Ghhefn8c676w
403,BG.West.380,1EcnkFUEX4Ghhefn8c676z
404,BG.West.401,1EcnkFUEX4Ghhefn8c676y
405,BG.West.410,1EcnkFUEX4Ghhefn8c676$
406,BG.West.430,1EcnkFUEX4Ghhefn8c676_
407,BG.West.500,1EcnkFUEX4Ghhefn8c676n
408,BG.West.510,1EcnkFUEX4Ghhefn8c676m
409,BG.West.520,1EcnkFUEX4Ghhefn8c676p
410,BG.West.530,1EcnkFUEX4Ghhefn8c676o
411,BG.West.540,1EcnkFUEX4Ghhefn8c676r
412,BG.West.545,1EcnkFUEX4Ghhefn8c676q
413,BG.West.550,1EcnkFUEX4Ghhefn8c676t
415,BG.West.610,1EcnkFUEX4Ghhefn8c676f
417,BG.West.630,1EcnkFUEX4Ghhefn8c676h
418,BG.West.640,1EcnkFUEX4Ghhefn8c676g
419,BG.West.650,1EcnkFUEX4Ghhefn8c676j
420,BG.West.660,1EcnkFUEX4Ghhefn8c676i
421,BG.West.670,1EcnkFUEX4Ghhefn8c676l
423,BG.West.700,1EcnkFUEX4Ghhefn8c676X
424,BG.West.710,1EcnkFUEX4Ghhefn8c676W
425,BG.West.720,1EcnkFUEX4Ghhefn8c676Z
426,BG.West.730,1EcnkFUEX4Ghhefn8c676Y
427,BG.West.740,1EcnkFUEX4Ghhefn8c676b
428,BG.West.750,1EcnkFUEX4Ghhefn8c676a
429,BG.West.760,1EcnkFUEX4Ghhefn8c676d
430,BG.West.801,1EcnkFUEX4Ghhefn8c676c
433,BG.West.804,1EcnkFUEX4Ghhefn8c671R
434,BG.West.806,1EcnkFUEX4Ghhefn8c671Q
435,BG.West.807,1EcnkFUEX4Ghhefn8c671T
436,BG.West.808,1EcnkFUEX4Ghhefn8c671S
437,BG.West.809,1EcnkFUEX4Ghhefn8c671V
438,BG.West.810,1EcnkFUEX4Ghhefn8c671U
439,BG.West.811,1EcnkFUEX4Ghhefn8c671H
440,BG.West.812,1EcnkFUEX4Ghhefn8c671G
442,BG.West.814,1EcnkFUEX4Ghhefn8c671I
443,BG.West.815,1EcnkFUEX4Ghhefn8c671L
444,BG.West.816,1EcnkFUEX4Ghhefn8c671K
445,BG.West.817,1EcnkFUEX4Ghhefn8c671N
446,BG.West.818,1EcnkFUEX4Ghhefn8c671M
447,BG.West.819,1EcnkFUEX4Ghhefn8c6719
449,BG.West.853,1EcnkFUEX4Ghhefn8c671B
450,BG.West.854,1EcnkFUEX4Ghhefn8c671A
451,BG.West.858,1EcnkFUEX4Ghhefn8c671D
452,BG.West.859,1EcnkFUEX4Ghhefn8c671C
453,BG.West.862,1EcnkFUEX4Ghhefn8c671F
454,BG.West.863,1EcnkFUEX4Ghhefn8c671E
455,BG.West.864,1EcnkFUEX4Ghhefn8c6711
457,BG.West.866,1EcnkFUEX4Ghhefn8c6713
458,BG.West.868,1EcnkFUEX4Ghhefn8c6712
459,BG.Zuid.010,1EcnkFUEX4Ghhefn8c6715
460,BG.Zuid.020,1EcnkFUEX4Ghhefn8c6714
461,BG.Zuid.030,1EcnkFUEX4Ghhefn8c6717
462,BG.Zuid.040,1EcnkFUEX4Ghhefn8c6716
463,BG.Zuid.080,1EcnkFUEX4Ghhefn8c671v
464,BG.Zuid.100,1EcnkFUEX4Ghhefn8c671u
465,BG.Zuid.110,1EcnkFUEX4Ghhefn8c671x
466,BG.Zuid.120,1EcnkFUEX4Ghhefn8c671w
467,BG.Zuid.130,1EcnkFUEX4Ghhefn8c671z
468,BG.Zuid.200,1EcnkFUEX4Ghhefn8c671y
469,BG.Zuid.300,1EcnkFUEX4Ghhefn8c671$
470,BG.Zuid.310,1EcnkFUEX4Ghhefn8c671_
471,BG.Zuid.330,1EcnkFUEX4Ghhefn8c671n
472,BG.Zuid.340,1EcnkFUEX4Ghhefn8c671m
473,BG.Zuid.350,1EcnkFUEX4Ghhefn8c671p
